2023-11-06 18:01:05,824 INFO    StreamThr :17608 [internal.py:wandb_internal():86] W&B internal server running at pid: 17608, started at: 2023-11-06 18:01:05.824739
2023-11-06 18:01:05,824 DEBUG   HandlerThread:17608 [handler.py:handle_request():144] handle_request: status
2023-11-06 18:01:05,834 INFO    WriterThread:17608 [datastore.py:open_for_write():85] open: C:\Users\Wu\Desktop\GitHub Projects\generative_ai\wandb\run-20231106_180105-plaoinf0\run-plaoinf0.wandb
2023-11-06 18:01:05,834 DEBUG   SenderThread:17608 [sender.py:send():379] send: header
2023-11-06 18:01:05,946 DEBUG   SenderThread:17608 [sender.py:send():379] send: run
2023-11-06 18:01:06,244 INFO    SenderThread:17608 [dir_watcher.py:__init__():211] watching files in: C:\Users\Wu\Desktop\GitHub Projects\generative_ai\wandb\run-20231106_180105-plaoinf0\files
2023-11-06 18:01:06,244 INFO    SenderThread:17608 [sender.py:_start_run_threads():1121] run started: plaoinf0 with start time 1699311665.824739
2023-11-06 18:01:06,274 DEBUG   HandlerThread:17608 [handler.py:handle_request():144] handle_request: check_version
2023-11-06 18:01:06,274 DEBUG   SenderThread:17608 [sender.py:send_request():406] send_request: check_version
2023-11-06 18:01:06,465 DEBUG   HandlerThread:17608 [handler.py:handle_request():144] handle_request: run_start
2023-11-06 18:01:06,528 DEBUG   HandlerThread:17608 [system_info.py:__init__():32] System info init
2023-11-06 18:01:06,528 DEBUG   HandlerThread:17608 [system_info.py:__init__():47] System info init done
2023-11-06 18:01:06,528 INFO    HandlerThread:17608 [system_monitor.py:start():181] Starting system monitor
2023-11-06 18:01:06,528 INFO    SystemMonitor:17608 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-11-06 18:01:06,528 INFO    HandlerThread:17608 [system_monitor.py:probe():201] Collecting system info
2023-11-06 18:01:06,538 INFO    SystemMonitor:17608 [interfaces.py:start():190] Started cpu monitoring
2023-11-06 18:01:06,538 INFO    SystemMonitor:17608 [interfaces.py:start():190] Started disk monitoring
2023-11-06 18:01:06,538 INFO    SystemMonitor:17608 [interfaces.py:start():190] Started gpu monitoring
2023-11-06 18:01:06,548 INFO    SystemMonitor:17608 [interfaces.py:start():190] Started memory monitoring
2023-11-06 18:01:06,568 DEBUG   HandlerThread:17608 [system_info.py:probe():196] Probing system
2023-11-06 18:01:06,568 INFO    SystemMonitor:17608 [interfaces.py:start():190] Started network monitoring
2023-11-06 18:01:06,588 DEBUG   HandlerThread:17608 [system_info.py:_probe_git():181] Probing git
2023-11-06 18:01:06,778 DEBUG   HandlerThread:17608 [system_info.py:_probe_git():189] Probing git done
2023-11-06 18:01:06,778 DEBUG   HandlerThread:17608 [system_info.py:probe():244] Probing system done
